,portid,pnl,ROI,Sharpe_Ratio,Win_Rate,Total_Positions,MDD,Score,Rank
130,3826087012661391104,0.15269733849011013,0.5578113160404483,1.0,0.7267932489451476,0.015483445890298136,0.00027757919546678167,0.5450551901934322,1.0
148,3768170840939476993,0.1492710982760538,0.9999999999999999,0.6669139646901037,0.5339705502454145,0.0,0.0,0.5416054031921542,2.0
82,4020204877254599680,1.0,0.03126387402763818,0.18415875606401994,0.4104365369958005,0.9942348871685059,0.04426221902508154,0.4651328824307098,3.0
126,3999240873283311617,0.6511447681513157,0.04555949111610081,0.4056070087757899,0.6518959349229365,0.7425465326964256,0.0002911892181691744,0.44304677229162914,4.0
35,3986814617275053313,0.3400789741937344,0.06399096032084205,0.5414331496939553,0.9745889052500252,0.583099983528249,8.209668991288055e-07,0.42872305472573585,5.0
85,4022641794255717633,0.1721906855677419,0.1233478715887679,0.8454726705842941,0.5422642104772502,0.9945643221874485,0.0030845660585127055,0.42493018889454803,6.0
128,3956048468100538880,0.162667135760933,0.0952632147381066,0.8004867967761853,0.889950917075691,0.002306045132597595,0.0,0.40634558342483634,7.0
140,4039129759104249600,0.16137156408460332,0.21467283776581747,0.7967428926080745,0.5527063590259554,0.019601383627079555,0.0,0.38515142485410125,8.0
21,3891020560590657281,0.18024643759397319,0.13311635644288355,0.6778027254358712,0.806861678135901,0.06967550650634162,0.0,0.38131672879358286,9.0
118,3907081197088384000,0.35997967701696665,0.07970969256360423,0.399264581256421,0.7649662705151455,0.6791302915499917,0.0013392101690254954,0.3764389267148678,10.0
40,4035430878731345664,0.17594804609990156,0.13265915075768264,0.7271529628967548,0.6019668000894,0.012353813210344258,0.0,0.358650152917507,11.0
117,3943533600390906881,0.17437919194628082,0.0771946543323243,0.6719625590571872,0.682818509201451,0.2874320540273431,7.854451533140239e-05,0.3563974400128469,12.0
81,3944658614777849089,0.17097682356603627,0.23367061445113077,0.6446212582103886,0.553747237291541,0.00510624279360896,0.0,0.3541834129686023,13.0
109,4039279455324236544,0.15869825396829257,0.06096181493179807,0.7298678211071037,0.689643921672722,0.05155658046450338,0.0,0.3513413024743467,14.0
94,3944088772635000577,0.23626826781803,0.05479383822871391,0.5007369360440422,0.5700500381915147,0.9963762147916323,7.218460902791435e-05,0.34508949038190684,15.0
28,4029422834086627072,0.1795777832090167,0.09334032569890383,0.7828997410697903,0.4641704783179094,0.014495140833470595,0.0,0.34328368044423846,16.0
9,4029749871687083265,0.189800422332204,0.21520753802062714,0.5734247709736663,0.5341784827026752,0.1386921429747982,0.0,0.34115958350237574,17.0
146,4028701921959171840,0.355064230616279,0.03639521635962696,0.4696396614855144,0.6764663302720899,0.11085488387415582,0.0002490701514898941,0.3400406823806903,18.0
119,3886752488982104320,0.2316881362884436,0.06765500239765826,0.3979157582672508,0.9287125903254249,0.20342612419700212,0.00016854500377239123,0.3353773258114242,19.0
87,4022565861939831809,0.31470851772222963,0.026154115126003345,0.5013495161014814,0.6574275710822975,0.11381979904463844,0.0006007225766183621,0.3305935887381166,20.0
